# removed	tp	fp	tn	fn	nonsig	lowmet	tested	de	accu	recall
# P-val cutoff: 0.05
# DE metabolites: C03758,C00078,C00037
# Significant pathways: 6
0	6	0	25	0	0	0	31	3	1.00	1.00
10	6	0	25	0	0	0	31	3	1.00	1.00
20	6	0	25	0	0	0	31	3	1.00	1.00
30	6	0	25	0	0	0	31	3	1.00	1.00
40	6	0	25	0	0	0	31	3	1.00	1.00
50	5	0	25	1	1	0	31	3	0.97	0.83
60	4	0	25	2	2	0	20	2	0.94	0.67
70	0	0	25	6	6	0	16	1	0.81	0.00
80	0	0	25	6	0	6	0	0	0.81	0.00
90	0	0	25	6	0	6	0	0	0.81	0.00
# DE metabolites: C01595,C00219,C00022
# Significant pathways: 1
0	1	0	47	0	0	0	48	3	1.00	1.00
10	1	0	47	0	0	0	48	3	1.00	1.00
20	1	0	47	0	0	0	48	3	1.00	1.00
30	1	0	47	0	0	0	48	3	1.00	1.00
40	0	0	47	1	1	0	48	3	0.98	0.00
50	0	0	47	1	1	0	48	3	0.98	0.00
60	0	0	47	1	1	0	48	3	0.98	0.00
70	0	0	47	1	1	0	48	3	0.98	0.00
80	0	0	47	1	1	0	20	2	0.98	0.00
90	0	0	47	1	1	0	20	2	0.98	0.00
# DE metabolites: C03758,C00249
# Significant pathways: 7
0	7	0	10	0	0	0	17	2	1.00	1.00
10	7	2	8	0	0	0	17	2	0.88	1.00
20	7	3	7	0	0	0	17	2	0.82	1.00
30	7	3	7	0	0	0	17	2	0.82	1.00
40	7	3	7	0	0	0	17	2	0.82	1.00
50	0	0	10	7	7	0	17	2	0.59	0.00
60	2	0	10	5	0	5	4	1	0.71	0.29
70	0	0	10	7	2	5	4	1	0.59	0.00
80	0	0	10	7	2	5	4	1	0.59	0.00
90	0	0	10	7	2	5	4	1	0.59	0.00
# DE metabolites: C00078,C00164,C00037
# Significant pathways: 5
0	5	0	20	0	0	0	25	3	1.00	1.00
10	5	0	20	0	0	0	25	3	1.00	1.00
20	5	0	20	0	0	0	25	3	1.00	1.00
30	5	0	20	0	0	0	25	3	1.00	1.00
40	5	0	20	0	0	0	25	3	1.00	1.00
50	4	0	20	1	1	0	25	3	0.96	0.80
60	5	0	20	0	0	0	25	3	1.00	1.00
70	1	0	20	4	4	0	21	2	0.84	0.20
80	0	0	20	5	1	4	6	1	0.80	0.00
90	0	0	20	5	0	5	0	0	0.80	0.00
# DE metabolites: C00219,C00249
# Significant pathways: 21
0	21	0	2	0	0	0	23	2	1.00	1.00
10	21	1	1	0	0	0	23	2	0.96	1.00
20	21	1	1	0	0	0	23	2	0.96	1.00
30	16	0	2	5	5	0	23	2	0.78	0.76
40	16	0	2	5	5	0	23	2	0.78	0.76
50	16	0	2	5	5	0	23	2	0.78	0.76
60	0	0	2	21	21	0	23	2	0.09	0.00
70	0	0	2	21	21	0	23	2	0.09	0.00
80	0	0	2	21	21	0	23	2	0.09	0.00
90	0	0	2	21	21	0	23	2	0.09	0.00
# DE metabolites: C00587,C01879,C00078,C00037
# Significant pathways: 6
0	6	0	14	0	0	0	20	4	1.00	1.00
10	5	0	14	1	1	0	20	3	0.95	0.83
20	5	0	14	1	1	0	20	3	0.95	0.83
30	5	0	14	1	1	0	20	3	0.95	0.83
40	5	0	14	1	1	0	20	3	0.95	0.83
50	5	0	14	1	1	0	20	3	0.95	0.83
60	5	0	14	1	1	0	20	3	0.95	0.83
70	1	0	14	5	4	1	16	2	0.75	0.17
80	1	0	14	5	0	5	1	1	0.75	0.17
90	0	0	14	6	1	5	1	1	0.70	0.00
# DE metabolites: C00156,C00219,C00078
# Significant pathways: 1
0	1	0	29	0	0	0	30	3	1.00	1.00
10	1	0	29	0	0	0	30	3	1.00	1.00
20	1	0	29	0	0	0	30	3	1.00	1.00
30	1	14	15	0	0	0	28	2	0.53	1.00
40	1	0	29	0	0	0	28	2	1.00	1.00
50	1	0	29	0	0	0	28	2	1.00	1.00
60	1	0	29	0	0	0	28	2	1.00	1.00
70	1	13	16	0	0	0	20	1	0.57	1.00
80	0	0	29	1	1	0	20	1	0.97	0.00
90	0	0	29	1	1	0	20	1	0.97	0.00
# DE metabolites: C00122,C00042,C00036,C00249,C00022
# Significant pathways: 12
0	12	0	29	0	0	0	41	5	1.00	1.00
10	12	0	29	0	0	0	41	5	1.00	1.00
20	8	0	29	4	4	0	38	4	0.90	0.67
30	9	0	29	3	3	0	38	4	0.93	0.75
40	3	0	29	9	9	0	37	3	0.78	0.25
50	2	0	29	10	10	0	37	3	0.76	0.17
60	2	0	29	10	10	0	37	3	0.76	0.17
70	0	0	29	12	11	1	32	2	0.71	0.00
80	0	0	29	12	0	12	4	1	0.71	0.00
90	0	0	29	12	0	12	4	1	0.71	0.00
# DE metabolites: C03758,C01753,C00187
# Significant pathways: 2
0	2	0	20	0	0	0	22	3	1.00	1.00
10	2	0	20	0	0	0	22	3	1.00	1.00
20	1	0	20	1	1	0	22	3	0.95	0.50
30	1	0	20	1	1	0	22	3	0.95	0.50
40	2	13	7	0	0	0	22	2	0.41	1.00
50	1	0	20	1	1	0	22	2	0.95	0.50
60	2	8	12	0	0	0	10	1	0.64	1.00
70	2	5	15	0	0	0	10	1	0.77	1.00
80	2	6	14	0	0	0	10	1	0.73	1.00
90	0	0	20	2	2	0	10	1	0.91	0.00
# DE metabolites: C00219,C00164,C00037
# Significant pathways: 1
0	1	0	40	0	0	0	41	3	1.00	1.00
10	1	0	40	0	0	0	41	3	1.00	1.00
20	1	0	40	0	0	0	41	3	1.00	1.00
30	1	0	40	0	0	0	41	3	1.00	1.00
40	0	0	40	1	1	0	41	3	0.98	0.00
50	0	0	40	1	1	0	41	3	0.98	0.00
60	0	0	40	1	1	0	41	3	0.98	0.00
70	0	0	40	1	1	0	41	3	0.98	0.00
80	0	0	40	1	1	0	26	2	0.98	0.00
90	0	0	40	1	0	1	20	1	0.98	0.00
# DE metabolites: C03758,C05587,C00109,C00022
# Significant pathways: 5
0	5	0	36	0	0	0	41	4	1.00	1.00
10	3	0	36	2	2	0	41	4	0.95	0.60
20	1	0	36	4	4	0	41	3	0.90	0.20
30	1	0	36	4	4	0	41	3	0.90	0.20
40	0	0	36	5	5	0	41	3	0.88	0.00
50	0	0	36	5	5	0	41	3	0.88	0.00
60	0	0	36	5	4	1	28	1	0.88	0.00
70	0	0	36	5	4	1	28	1	0.88	0.00
80	0	0	36	5	0	5	0	0	0.88	0.00
90	0	0	36	5	0	5	0	0	0.88	0.00
# DE metabolites: C00086,C00122
# Significant pathways: 1
0	1	0	18	0	0	0	19	2	1.00	1.00
10	1	0	18	0	0	0	19	2	1.00	1.00
20	1	4	14	0	0	0	7	1	0.79	1.00
30	1	4	14	0	0	0	7	1	0.79	1.00
40	1	4	14	0	0	0	7	1	0.79	1.00
50	1	4	14	0	0	0	7	1	0.79	1.00
60	0	0	18	1	1	0	7	1	0.95	0.00
70	0	0	18	1	1	0	7	1	0.95	0.00
80	1	5	13	0	0	0	7	1	0.74	1.00
90	0	0	18	1	1	0	7	1	0.95	0.00
# DE metabolites: C01384,C00022,C00122,C00086,C00334,C00791
# Significant pathways: 4
0	4	0	43	0	0	0	47	6	1.00	1.00
10	3	2	41	1	1	0	37	5	0.94	0.75
20	1	0	43	3	3	0	34	4	0.94	0.25
30	1	0	43	3	3	0	34	4	0.94	0.25
40	1	0	43	3	3	0	34	4	0.94	0.25
50	1	0	43	3	3	0	34	3	0.94	0.25
60	1	0	43	3	3	0	34	3	0.94	0.25
70	1	0	43	3	3	0	34	2	0.94	0.25
80	1	5	38	3	0	3	7	1	0.83	0.25
90	0	0	43	4	1	3	7	1	0.91	0.00
# DE metabolites: C03758,C00233,C00164,C00334
# Significant pathways: 5
0	5	0	23	0	0	0	28	4	1.00	1.00
10	1	0	23	4	4	0	19	3	0.86	0.20
20	1	0	23	4	4	0	19	3	0.86	0.20
30	1	0	23	4	4	0	19	3	0.86	0.20
40	1	0	23	4	4	0	19	3	0.86	0.20
50	1	0	23	4	4	0	19	3	0.86	0.20
60	1	0	23	4	0	4	7	2	0.86	0.20
70	1	0	23	4	0	4	7	2	0.86	0.20
80	1	0	23	4	0	4	7	2	0.86	0.20
90	0	0	23	5	0	5	0	0	0.82	0.00
# DE metabolites: C00022,C00078,C00037
# Significant pathways: 7
0	7	0	36	0	0	0	43	3	1.00	1.00
10	7	0	36	0	0	0	43	3	1.00	1.00
20	7	0	36	0	0	0	43	3	1.00	1.00
30	7	0	36	0	0	0	43	3	1.00	1.00
40	7	0	36	0	0	0	43	3	1.00	1.00
50	7	0	36	0	0	0	43	3	1.00	1.00
60	7	0	36	0	0	0	43	3	1.00	1.00
70	4	1	35	3	3	0	39	2	0.91	0.57
80	0	0	36	7	0	7	0	0	0.84	0.00
90	0	0	36	7	0	7	0	0	0.84	0.00
# DE metabolites: C03758,C00219
# Significant pathways: 26
0	26	0	7	0	0	0	33	2	1.00	1.00
10	26	4	3	0	0	0	33	2	0.88	1.00
20	26	4	3	0	0	0	33	2	0.88	1.00
30	21	0	7	5	5	0	33	2	0.85	0.81
40	21	0	7	5	5	0	33	2	0.85	0.81
50	0	0	7	26	26	0	33	2	0.21	0.00
60	18	1	6	8	0	8	20	1	0.73	0.69
70	14	0	7	12	4	8	20	1	0.64	0.54
80	0	0	7	26	18	8	20	1	0.21	0.00
90	0	0	7	26	18	8	20	1	0.21	0.00
# DE metabolites: C00122,C00026,C00334
# Significant pathways: 7
0	7	0	26	0	0	0	33	3	1.00	1.00
10	5	1	25	2	2	0	23	2	0.91	0.71
20	0	0	26	7	6	1	16	1	0.79	0.00
30	0	0	26	7	6	1	16	1	0.79	0.00
40	0	0	26	7	6	1	16	1	0.79	0.00
50	0	0	26	7	6	1	16	1	0.79	0.00
60	0	0	26	7	6	1	16	1	0.79	0.00
70	0	0	26	7	0	7	0	0	0.79	0.00
80	0	0	26	7	0	7	0	0	0.79	0.00
90	0	0	26	7	0	7	0	0	0.79	0.00
# DE metabolites: C00122,C03758,C00042,C00086
# Significant pathways: 4
0	4	0	31	0	0	0	35	4	1.00	1.00
10	4	0	31	0	0	0	35	4	1.00	1.00
20	1	0	31	3	3	0	33	3	0.91	0.25
30	1	0	31	3	3	0	33	3	0.91	0.25
40	1	0	31	3	3	0	33	3	0.91	0.25
50	0	0	31	4	4	0	33	3	0.89	0.00
60	0	0	31	4	4	0	22	2	0.89	0.00
70	0	0	31	4	1	3	7	1	0.89	0.00
80	1	5	26	3	0	3	7	1	0.77	0.25
90	0	0	31	4	1	3	7	1	0.89	0.00
# DE metabolites: C00864,C00164,C00187
# Significant pathways: 1
0	1	0	17	0	0	0	18	3	1.00	1.00
10	0	0	17	1	1	0	16	2	0.94	0.00
20	0	0	17	1	1	0	16	2	0.94	0.00
30	0	0	17	1	1	0	16	2	0.94	0.00
40	0	0	17	1	1	0	16	2	0.94	0.00
50	0	0	17	1	1	0	16	2	0.94	0.00
60	0	0	17	1	1	0	16	2	0.94	0.00
70	0	0	17	1	1	0	16	2	0.94	0.00
80	0	0	17	1	1	0	16	2	0.94	0.00
90	0	0	17	1	1	0	10	1	0.94	0.00
# DE metabolites: C03758,C00346,C00334
# Significant pathways: 4
0	4	0	22	0	0	0	26	3	1.00	1.00
10	4	10	12	0	0	0	16	2	0.62	1.00
20	1	9	13	3	3	0	16	2	0.54	0.25
30	1	9	13	3	3	0	16	2	0.54	0.25
40	1	10	12	3	3	0	16	2	0.50	0.25
50	4	7	15	0	0	0	13	1	0.73	1.00
60	0	0	22	4	0	4	0	0	0.85	0.00
70	0	0	22	4	0	4	0	0	0.85	0.00
80	0	0	22	4	0	4	0	0	0.85	0.00
90	0	0	22	4	0	4	0	0	0.85	0.00
# DE metabolites: C00042,C00219,C00078
# Significant pathways: 1
0	1	0	41	0	0	0	42	3	1.00	1.00
10	1	0	41	0	0	0	42	3	1.00	1.00
20	1	0	41	0	0	0	42	3	1.00	1.00
30	1	0	41	0	0	0	42	3	1.00	1.00
40	0	0	41	1	1	0	42	3	0.98	0.00
50	0	0	41	1	1	0	42	3	0.98	0.00
60	0	0	41	1	1	0	42	3	0.98	0.00
70	1	13	28	0	0	0	20	1	0.69	1.00
80	0	0	41	1	1	0	20	1	0.98	0.00
90	0	0	41	1	1	0	20	1	0.98	0.00
# DE metabolites: C00026,C00219,C00137,C01620
# Significant pathways: 1
0	1	0	39	0	0	0	40	4	1.00	1.00
10	1	0	39	0	0	0	40	4	1.00	1.00
20	1	0	39	0	0	0	40	4	1.00	1.00
30	1	0	39	0	0	0	40	4	1.00	1.00
40	1	0	39	0	0	0	40	4	1.00	1.00
50	1	0	39	0	0	0	40	4	1.00	1.00
60	1	0	39	0	0	0	40	4	1.00	1.00
70	0	0	39	1	1	0	25	2	0.97	0.00
80	0	0	39	1	1	0	25	2	0.97	0.00
90	0	0	39	1	1	0	25	2	0.97	0.00
# DE metabolites: C00219
# Significant pathways: 20
0	20	0	0	0	0	0	20	1	1.00	1.00
10	19	0	0	1	1	0	20	1	0.95	0.95
20	19	0	0	1	1	0	20	1	0.95	0.95
30	19	0	0	1	1	0	20	1	0.95	0.95
40	19	0	0	1	1	0	20	1	0.95	0.95
50	19	0	0	1	1	0	20	1	0.95	0.95
60	19	0	0	1	1	0	20	1	0.95	0.95
70	14	0	0	6	6	0	20	1	0.70	0.70
80	0	0	0	20	20	0	20	1	0.00	0.00
90	0	0	0	20	20	0	20	1	0.00	0.00
# DE metabolites: C00158,C00036,C00022,C00219,C00026,C00037
# Significant pathways: 8
0	8	0	58	0	0	0	66	6	1.00	1.00
10	8	0	58	0	0	0	66	6	1.00	1.00
20	8	0	58	0	0	0	66	6	1.00	1.00
30	8	0	58	0	0	0	66	6	1.00	1.00
40	8	0	58	0	0	0	66	5	1.00	1.00
50	8	0	58	0	0	0	66	5	1.00	1.00
60	3	0	58	5	5	0	66	5	0.92	0.38
70	2	0	58	6	6	0	60	4	0.91	0.25
80	0	0	58	8	5	3	26	2	0.88	0.00
90	0	0	58	8	5	3	26	2	0.88	0.00
# DE metabolites: C00346,C00219
# Significant pathways: 21
0	21	0	2	0	0	0	23	2	1.00	1.00
10	21	1	1	0	0	0	23	2	0.96	1.00
20	21	1	1	0	0	0	23	2	0.96	1.00
30	15	0	2	6	6	0	23	2	0.74	0.71
40	16	0	2	5	5	0	23	2	0.78	0.76
50	18	1	1	3	0	3	20	1	0.83	0.86
60	18	1	1	3	0	3	20	1	0.83	0.86
70	14	0	2	7	4	3	20	1	0.70	0.67
80	0	0	2	21	18	3	20	1	0.09	0.00
90	0	0	2	21	18	3	20	1	0.09	0.00
# DE metabolites: C00864,C00022,C00429,C00334
# Significant pathways: 2
0	2	0	38	0	0	0	40	4	1.00	1.00
10	1	0	38	1	1	0	30	2	0.97	0.50
